,Date,Country_Province,ConfirmedCases,Fatalities
70,2020-04-29,Albania,720.0,33.0
71,2020-04-30,Albania,737.0,33.0
72,2020-05-01,Albania,756.0,34.0
73,2020-05-02,Albania,774.0,35.0
74,2020-05-03,Albania,791.0,35.0
75,2020-05-04,Albania,805.0,36.0
76,2020-05-05,Albania,818.0,36.0
77,2020-05-06,Albania,832.0,37.0
78,2020-05-07,Albania,849.0,37.0
79,2020-05-08,Albania,867.0,38.0
80,2020-05-09,Albania,886.0,39.0
81,2020-05-10,Albania,902.0,39.0
82,2020-05-11,Albania,917.0,40.0
83,2020-05-12,Albania,930.0,40.0
84,2020-05-13,Albania,943.0,41.0
85,2020-05-14,Albania,960.0,41.0
86,2020-04-02,Algeria,1003.0,94.0
87,2020-04-03,Algeria,1119.0,113.0
88,2020-04-04,Algeria,1226.0,131.0
89,2020-04-05,Algeria,1315.0,149.0
90,2020-04-06,Algeria,1380.0,169.0
91,2020-04-07,Algeria,1449.0,186.0
92,2020-04-08,Algeria,1536.0,203.0
93,2020-04-09,Algeria,1645.0,222.0
94,2020-04-10,Algeria,1761.0,241.0
95,2020-04-11,Algeria,1867.0,259.0
96,2020-04-12,Algeria,1957.0,278.0
97,2020-04-13,Algeria,2022.0,297.0
98,2020-04-14,Algeria,2091.0,314.0
99,2020-04-15,Algeria,2177.0,331.0
100,2020-04-16,Algeria,2287.0,351.0
101,2020-04-17,Algeria,2402.0,369.0
102,2020-04-18,Algeria,2509.0,388.0
103,2020-04-19,Algeria,2599.0,406.0
104,2020-04-20,Algeria,2663.0,425.0
105,2020-04-21,Algeria,2732.0,443.0
106,2020-04-22,Algeria,2819.0,459.0
107,2020-04-23,Algeria,2929.0,479.0
108,2020-04-24,Algeria,3044.0,497.0
109,2020-04-25,Algeria,3151.0,516.0
110,2020-04-26,Algeria,3240.0,534.0
111,2020-04-27,Algeria,3305.0,554.0
112,2020-04-28,Algeria,3374.0,571.0
113,2020-04-29,Algeria,3461.0,587.0
114,2020-04-30,Algeria,3570.0,607.0
115,2020-05-01,Algeria,3686.0,626.0
116,2020-05-02,Algeria,3792.0,644.0
117,2020-05-03,Algeria,3882.0,662.0
118,2020-05-04,Algeria,3947.0,682.0
119,2020-05-05,Algeria,4016.0,699.0
120,2020-05-06,Algeria,4102.0,716.0
121,2020-05-07,Algeria,4212.0,735.0
122,2020-05-08,Algeria,4327.0,754.0
123,2020-05-09,Algeria,4434.0,772.0
124,2020-05-10,Algeria,4524.0,790.0
125,2020-05-11,Algeria,4588.0,810.0
126,2020-05-12,Algeria,4657.0,827.0
127,2020-05-13,Algeria,4744.0,844.0
128,2020-05-14,Algeria,4854.0,863.0
129,2020-04-02,Andorra,436.0,15.0
130,2020-04-03,Andorra,456.0,16.0
131,2020-04-04,Andorra,473.0,17.0
132,2020-04-05,Andorra,493.0,19.0
133,2020-04-06,Andorra,513.0,20.0
134,2020-04-07,Andorra,531.0,22.0
135,2020-04-08,Andorra,544.0,23.0
136,2020-04-09,Andorra,561.0,24.0
137,2020-04-10,Andorra,580.0,25.0
138,2020-04-11,Andorra,597.0,26.0
139,2020-04-12,Andorra,617.0,28.0
140,2020-04-13,Andorra,637.0,29.0
141,2020-04-14,Andorra,655.0,31.0
142,2020-04-15,Andorra,668.0,32.0
143,2020-04-16,Andorra,685.0,33.0
144,2020-04-17,Andorra,704.0,34.0
145,2020-04-18,Andorra,721.0,35.0
146,2020-04-19,Andorra,742.0,37.0
147,2020-04-20,Andorra,761.0,38.0
148,2020-04-21,Andorra,780.0,40.0
149,2020-04-22,Andorra,792.0,41.0
150,2020-04-23,Andorra,809.0,43.0
151,2020-04-24,Andorra,828.0,44.0
152,2020-04-25,Andorra,845.0,44.0
153,2020-04-26,Andorra,866.0,46.0
154,2020-04-27,Andorra,885.0,48.0
155,2020-04-28,Andorra,904.0,49.0
156,2020-04-29,Andorra,917.0,50.0
157,2020-04-30,Andorra,933.0,52.0
158,2020-05-01,Andorra,953.0,53.0
159,2020-05-02,Andorra,970.0,53.0
160,2020-05-03,Andorra,990.0,55.0
161,2020-05-04,Andorra,1010.0,57.0
162,2020-05-05,Andorra,1028.0,58.0
163,2020-05-06,Andorra,1041.0,60.0
164,2020-05-07,Andorra,1058.0,61.0
165,2020-05-08,Andorra,1077.0,62.0
166,2020-05-09,Andorra,1094.0,63.0
167,2020-05-10,Andorra,1114.0,64.0
168,2020-05-11,Andorra,1134.0,66.0
169,2020-05-12,Andorra,1152.0,67.0
170,2020-05-13,Andorra,1165.0,69.0
171,2020-05-14,Andorra,1182.0,70.0
172,2020-04-02,Angola,10.0,2.0
173,2020-04-03,Angola,11.0,2.0
174,2020-04-04,Angola,12.0,2.0
175,2020-04-05,Angola,13.0,2.0
176,2020-04-06,Angola,14.0,2.0
177,2020-04-07,Angola,14.0,2.0
178,2020-04-08,Angola,15.0,2.0
179,2020-04-09,Angola,16.0,2.0
180,2020-04-10,Angola,16.0,2.0
181,2020-04-11,Angola,18.0,2.0
182,2020-04-12,Angola,19.0,2.0
183,2020-04-13,Angola,19.0,2.0
184,2020-04-14,Angola,20.0,2.0
185,2020-04-15,Angola,21.0,2.0
186,2020-04-16,Angola,21.0,2.0
187,2020-04-17,Angola,22.0,2.0
188,2020-04-18,Angola,23.0,2.0
189,2020-04-19,Angola,24.0,2.0
190,2020-04-20,Angola,25.0,2.0
191,2020-04-21,Angola,26.0,2.0
192,2020-04-22,Angola,26.0,2.0
193,2020-04-23,Angola,27.0,2.0
194,2020-04-24,Angola,27.0,2.0
195,2020-04-25,Angola,29.0,2.0
196,2020-04-26,Angola,30.0,2.0
197,2020-04-27,Angola,31.0,2.0
198,2020-04-28,Angola,31.0,2.0
199,2020-04-29,Angola,32.0,2.0
200,2020-04-30,Angola,32.0,2.0
201,2020-05-01,Angola,33.0,2.0
202,2020-05-02,Angola,34.0,2.0
203,2020-05-03,Angola,35.0,2.0
204,2020-05-04,Angola,36.0,2.0
205,2020-05-05,Angola,37.0,2.0
206,2020-05-06,Angola,37.0,2.0
207,2020-05-07,Angola,38.0,2.0
208,2020-05-08,Angola,39.0,2.0
209,2020-05-09,Angola,40.0,2.0
210,2020-05-10,Angola,41.0,2.0
211,2020-05-11,Angola,42.0,2.0
212,2020-05-12,Angola,42.0,2.0
213,2020-05-13,Angola,43.0,2.0
214,2020-05-14,Angola,43.0,2.0
215,2020-04-02,Antigua and Barbuda,12.0,0.0
216,2020-04-03,Antigua and Barbuda,13.0,0.0
217,2020-04-04,Antigua and Barbuda,14.0,0.0
218,2020-04-05,Antigua and Barbuda,14.0,0.0
219,2020-04-06,Antigua and Barbuda,15.0,1.0
220,2020-04-07,Antigua and Barbuda,16.0,1.0
221,2020-04-08,Antigua and Barbuda,17.0,1.0
222,2020-04-09,Antigua and Barbuda,18.0,1.0
223,2020-04-10,Antigua and Barbuda,19.0,2.0
224,2020-04-11,Antigua and Barbuda,20.0,2.0
225,2020-04-12,Antigua and Barbuda,20.0,2.0
226,2020-04-13,Antigua and Barbuda,21.0,2.0
227,2020-04-14,Antigua and Barbuda,22.0,2.0
228,2020-04-15,Antigua and Barbuda,22.0,3.0
229,2020-04-16,Antigua and Barbuda,23.0,3.0
230,2020-04-17,Antigua and Barbuda,24.0,3.0
231,2020-04-18,Antigua and Barbuda,25.0,3.0
232,2020-04-19,Antigua and Barbuda,26.0,3.0
233,2020-04-20,Antigua and Barbuda,27.0,3.0
234,2020-04-21,Antigua and Barbuda,28.0,4.0
235,2020-04-22,Antigua and Barbuda,28.0,4.0
236,2020-04-23,Antigua and Barbuda,29.0,4.0
237,2020-04-24,Antigua and Barbuda,30.0,4.0
238,2020-04-25,Antigua and Barbuda,31.0,4.0
239,2020-04-26,Antigua and Barbuda,32.0,5.0
240,2020-04-27,Antigua and Barbuda,33.0,5.0
241,2020-04-28,Antigua and Barbuda,33.0,5.0
242,2020-04-29,Antigua and Barbuda,34.0,5.0
243,2020-04-30,Antigua and Barbuda,35.0,6.0
244,2020-05-01,Antigua and Barbuda,36.0,6.0
245,2020-05-02,Antigua and Barbuda,37.0,6.0
246,2020-05-03,Antigua and Barbuda,37.0,6.0
247,2020-05-04,Antigua and Barbuda,38.0,6.0
248,2020-05-05,Antigua and Barbuda,39.0,6.0
249,2020-05-06,Antigua and Barbuda,39.0,7.0
250,2020-05-07,Antigua and Barbuda,40.0,7.0
251,2020-05-08,Antigua and Barbuda,42.0,7.0
252,2020-05-09,Antigua and Barbuda,42.0,7.0
253,2020-05-10,Antigua and Barbuda,43.0,7.0
254,2020-05-11,Antigua and Barbuda,44.0,8.0
255,2020-05-12,Antigua and Barbuda,45.0,8.0
256,2020-05-13,Antigua and Barbuda,45.0,8.0
257,2020-05-14,Antigua and Barbuda,46.0,8.0
258,2020-04-02,Argentina,1158.0,32.0
259,2020-04-03,Argentina,1270.0,38.0
260,2020-04-04,Argentina,1371.0,43.0
261,2020-04-05,Argentina,1465.0,47.0
262,2020-04-06,Argentina,1549.0,54.0
263,2020-04-07,Argentina,1649.0,60.0
264,2020-04-08,Argentina,1736.0,67.0
265,2020-04-09,Argentina,1841.0,74.0
266,2020-04-10,Argentina,1952.0,80.0
267,2020-04-11,Argentina,2054.0,85.0
268,2020-04-12,Argentina,2148.0,89.0
269,2020-04-13,Argentina,2231.0,96.0
270,2020-04-14,Argentina,2332.0,102.0
271,2020-04-15,Argentina,2419.0,109.0
272,2020-04-16,Argentina,2524.0,116.0
273,2020-04-17,Argentina,2635.0,122.0
274,2020-04-18,Argentina,2737.0,127.0
275,2020-04-19,Argentina,2830.0,132.0
276,2020-04-20,Argentina,2914.0,138.0
277,2020-04-21,Argentina,3014.0,144.0
278,2020-04-22,Argentina,3102.0,151.0
279,2020-04-23,Argentina,3206.0,158.0
280,2020-04-24,Argentina,3318.0,164.0
281,2020-04-25,Argentina,3419.0,169.0
282,2020-04-26,Argentina,3513.0,174.0
283,2020-04-27,Argentina,3597.0,180.0
284,2020-04-28,Argentina,3697.0,186.0
285,2020-04-29,Argentina,3784.0,194.0
286,2020-04-30,Argentina,3889.0,200.0
287,2020-05-01,Argentina,4000.0,206.0
288,2020-05-02,Argentina,4102.0,211.0
289,2020-05-03,Argentina,4196.0,216.0
290,2020-05-04,Argentina,4279.0,222.0
291,2020-05-05,Argentina,4380.0,228.0
292,2020-05-06,Argentina,4467.0,236.0
293,2020-05-07,Argentina,4572.0,242.0
294,2020-05-08,Argentina,4683.0,248.0
295,2020-05-09,Argentina,4785.0,253.0
296,2020-05-10,Argentina,4878.0,258.0
297,2020-05-11,Argentina,4962.0,264.0
298,2020-05-12,Argentina,5062.0,271.0
299,2020-05-13,Argentina,5150.0,278.0
300,2020-05-14,Argentina,5254.0,284.0
301,2020-04-02,Armenia,666.0,5.0
302,2020-04-03,Armenia,709.0,6.0
303,2020-04-04,Armenia,755.0,7.0
304,2020-04-05,Armenia,790.0,7.0
305,2020-04-06,Armenia,813.0,8.0
306,2020-04-07,Armenia,835.0,9.0
307,2020-04-08,Armenia,863.0,10.0
308,2020-04-09,Armenia,910.0,11.0
309,2020-04-10,Armenia,954.0,12.0
310,2020-04-11,Armenia,999.0,13.0
311,2020-04-12,Armenia,1034.0,14.0
312,2020-04-13,Armenia,1058.0,15.0
313,2020-04-14,Armenia,1080.0,15.0
314,2020-04-15,Armenia,1107.0,16.0
315,2020-04-16,Armenia,1155.0,18.0
316,2020-04-17,Armenia,1198.0,19.0
317,2020-04-18,Armenia,1244.0,19.0
318,2020-04-19,Armenia,1279.0,20.0
319,2020-04-20,Armenia,1302.0,21.0
320,2020-04-21,Armenia,1324.0,22.0
321,2020-04-22,Armenia,1352.0,23.0
322,2020-04-23,Armenia,1399.0,24.0
323,2020-04-24,Armenia,1442.0,25.0
324,2020-04-25,Armenia,1488.0,26.0
325,2020-04-26,Armenia,1523.0,26.0
326,2020-04-27,Armenia,1546.0,27.0
327,2020-04-28,Armenia,1568.0,28.0
328,2020-04-29,Armenia,1596.0,29.0
329,2020-04-30,Armenia,1643.0,30.0
330,2020-05-01,Armenia,1687.0,31.0
331,2020-05-02,Armenia,1732.0,32.0
332,2020-05-03,Armenia,1767.0,33.0
333,2020-05-04,Armenia,1791.0,33.0
334,2020-05-05,Armenia,1813.0,34.0
335,2020-05-06,Armenia,1840.0,35.0
336,2020-05-07,Armenia,1888.0,37.0
337,2020-05-08,Armenia,1931.0,37.0
338,2020-05-09,Armenia,1977.0,38.0
339,2020-05-10,Armenia,2012.0,39.0
340,2020-05-11,Armenia,2035.0,40.0
341,2020-05-12,Armenia,2057.0,40.0
342,2020-05-13,Armenia,2085.0,42.0
343,2020-05-14,Armenia,2132.0,43.0
344,2020-04-02,"Australian Capital Territory, Australia",90.0,1.0
345,2020-04-03,"Australian Capital Territory, Australia",92.0,1.0
346,2020-04-04,"Australian Capital Territory, Australia",93.0,2.0
347,2020-04-05,"Australian Capital Territory, Australia",94.0,2.0
348,2020-04-06,"Australian Capital Territory, Australia",95.0,2.0
349,2020-04-07,"Australian Capital Territory, Australia",95.0,2.0
350,2020-04-08,"Australian Capital Territory, Australia",95.0,2.0
351,2020-04-09,"Australian Capital Territory, Australia",97.0,2.0
352,2020-04-10,"Australian Capital Territory, Australia",99.0,2.0
353,2020-04-11,"Australian Capital Territory, Australia",100.0,2.0
354,2020-04-12,"Australian Capital Territory, Australia",101.0,2.0
355,2020-04-13,"Australian Capital Territory, Australia",102.0,2.0
356,2020-04-14,"Australian Capital Territory, Australia",101.0,3.0
357,2020-04-15,"Australian Capital Territory, Australia",102.0,3.0
358,2020-04-16,"Australian Capital Territory, Australia",103.0,3.0
359,2020-04-17,"Australian Capital Territory, Australia",105.0,3.0
360,2020-04-18,"Australian Capital Territory, Australia",107.0,3.0
361,2020-04-19,"Australian Capital Territory, Australia",108.0,3.0
362,2020-04-20,"Australian Capital Territory, Australia",108.0,3.0
363,2020-04-21,"Australian Capital Territory, Australia",108.0,3.0
364,2020-04-22,"Australian Capital Territory, Australia",108.0,3.0
365,2020-04-23,"Australian Capital Territory, Australia",110.0,3.0
366,2020-04-24,"Australian Capital Territory, Australia",112.0,3.0
367,2020-04-25,"Australian Capital Territory, Australia",114.0,4.0
368,2020-04-26,"Australian Capital Territory, Australia",115.0,4.0
369,2020-04-27,"Australian Capital Territory, Australia",115.0,4.0
370,2020-04-28,"Australian Capital Territory, Australia",115.0,4.0
371,2020-04-29,"Australian Capital Territory, Australia",115.0,4.0
372,2020-04-30,"Australian Capital Territory, Australia",117.0,4.0
373,2020-05-01,"Australian Capital Territory, Australia",119.0,4.0
374,2020-05-02,"Australian Capital Territory, Australia",120.0,4.0
375,2020-05-03,"Australian Capital Territory, Australia",121.0,4.0
376,2020-05-04,"Australian Capital Territory, Australia",122.0,5.0
377,2020-05-05,"Australian Capital Territory, Australia",122.0,5.0
378,2020-05-06,"Australian Capital Territory, Australia",122.0,5.0
379,2020-05-07,"Australian Capital Territory, Australia",124.0,5.0
380,2020-05-08,"Australian Capital Territory, Australia",126.0,5.0
381,2020-05-09,"Australian Capital Territory, Australia",127.0,5.0
382,2020-05-10,"Australian Capital Territory, Australia",128.0,5.0
383,2020-05-11,"Australian Capital Territory, Australia",129.0,5.0
384,2020-05-12,"Australian Capital Territory, Australia",128.0,5.0
385,2020-05-13,"Australian Capital Territory, Australia",129.0,5.0
386,2020-05-14,"Australian Capital Territory, Australia",130.0,6.0
387,2020-04-02,"New South Wales, Australia",2393.0,12.0
388,2020-04-03,"New South Wales, Australia",2444.0,13.0
389,2020-04-04,"New South Wales, Australia",2496.0,14.0
390,2020-04-05,"New South Wales, Australia",2542.0,15.0
391,2020-04-06,"New South Wales, Australia",2577.0,17.0
392,2020-04-07,"New South Wales, Australia",2591.0,18.0
393,2020-04-08,"New South Wales, Australia",2619.0,18.0
394,2020-04-09,"New South Wales, Australia",2659.0,19.0
395,2020-04-10,"New South Wales, Australia",2709.0,20.0
396,2020-04-11,"New South Wales, Australia",2761.0,21.0
397,2020-04-12,"New South Wales, Australia",2808.0,22.0
398,2020-04-13,"New South Wales, Australia",2842.0,23.0
399,2020-04-14,"New South Wales, Australia",2856.0,25.0
400,2020-04-15,"New South Wales, Australia",2884.0,25.0
401,2020-04-16,"New South Wales, Australia",2924.0,26.0
402,2020-04-17,"New South Wales, Australia",2974.0,27.0
403,2020-04-18,"New South Wales, Australia",3026.0,28.0
404,2020-04-19,"New South Wales, Australia",3073.0,29.0
405,2020-04-20,"New South Wales, Australia",3107.0,30.0
406,2020-04-21,"New South Wales, Australia",3122.0,32.0
407,2020-04-22,"New South Wales, Australia",3149.0,32.0
408,2020-04-23,"New South Wales, Australia",3189.0,33.0
409,2020-04-24,"New South Wales, Australia",3239.0,34.0
410,2020-04-25,"New South Wales, Australia",3292.0,35.0
411,2020-04-26,"New South Wales, Australia",3338.0,36.0
412,2020-04-27,"New South Wales, Australia",3372.0,37.0
413,2020-04-28,"New South Wales, Australia",3387.0,39.0
414,2020-04-29,"New South Wales, Australia",3414.0,39.0
415,2020-04-30,"New South Wales, Australia",3454.0,40.0
416,2020-05-01,"New South Wales, Australia",3505.0,41.0
417,2020-05-02,"New South Wales, Australia",3557.0,42.0
418,2020-05-03,"New South Wales, Australia",3603.0,43.0
419,2020-05-04,"New South Wales, Australia",3638.0,44.0
420,2020-05-05,"New South Wales, Australia",3652.0,46.0
421,2020-05-06,"New South Wales, Australia",3680.0,46.0
422,2020-05-07,"New South Wales, Australia",3720.0,47.0
423,2020-05-08,"New South Wales, Australia",3770.0,48.0
424,2020-05-09,"New South Wales, Australia",3822.0,49.0
425,2020-05-10,"New South Wales, Australia",3869.0,50.0
426,2020-05-11,"New South Wales, Australia",3903.0,51.0
427,2020-05-12,"New South Wales, Australia",3917.0,52.0
428,2020-05-13,"New South Wales, Australia",3945.0,53.0
429,2020-05-14,"New South Wales, Australia",3985.0,54.0
430,2020-04-02,"Northern Territory, Australia",23.0,0.0
431,2020-04-03,"Northern Territory, Australia",24.0,0.0
432,2020-04-04,"Northern Territory, Australia",25.0,0.0
433,2020-04-05,"Northern Territory, Australia",25.0,0.0
434,2020-04-06,"Northern Territory, Australia",25.0,0.0
435,2020-04-07,"Northern Territory, Australia",25.0,0.0
436,2020-04-08,"Northern Territory, Australia",25.0,0.0
437,2020-04-09,"Northern Territory, Australia",26.0,0.0
438,2020-04-10,"Northern Territory, Australia",26.0,0.0
439,2020-04-11,"Northern Territory, Australia",27.0,0.0
440,2020-04-12,"Northern Territory, Australia",28.0,0.0
441,2020-04-13,"Northern Territory, Australia",28.0,0.0
442,2020-04-14,"Northern Territory, Australia",28.0,0.0
443,2020-04-15,"Northern Territory, Australia",28.0,0.0
444,2020-04-16,"Northern Territory, Australia",28.0,0.0
445,2020-04-17,"Northern Territory, Australia",29.0,0.0
446,2020-04-18,"Northern Territory, Australia",30.0,0.0
447,2020-04-19,"Northern Territory, Australia",30.0,0.0
448,2020-04-20,"Northern Territory, Australia",30.0,0.0
449,2020-04-21,"Northern Territory, Australia",30.0,0.0
450,2020-04-22,"Northern Territory, Australia",30.0,0.0
451,2020-04-23,"Northern Territory, Australia",31.0,0.0
452,2020-04-24,"Northern Territory, Australia",32.0,0.0
453,2020-04-25,"Northern Territory, Australia",33.0,0.0
454,2020-04-26,"Northern Territory, Australia",33.0,0.0
455,2020-04-27,"Northern Territory, Australia",33.0,0.0
456,2020-04-28,"Northern Territory, Australia",33.0,0.0
457,2020-04-29,"Northern Territory, Australia",33.0,0.0
458,2020-04-30,"Northern Territory, Australia",33.0,0.0
459,2020-05-01,"Northern Territory, Australia",34.0,0.0
460,2020-05-02,"Northern Territory, Australia",35.0,0.0
461,2020-05-03,"Northern Territory, Australia",36.0,0.0
462,2020-05-04,"Northern Territory, Australia",36.0,0.0
463,2020-05-05,"Northern Territory, Australia",36.0,0.0
464,2020-05-06,"Northern Territory, Australia",35.0,0.0
465,2020-05-07,"Northern Territory, Australia",36.0,0.0
466,2020-05-08,"Northern Territory, Australia",37.0,0.0
467,2020-05-09,"Northern Territory, Australia",38.0,0.0
468,2020-05-10,"Northern Territory, Australia",38.0,0.0
469,2020-05-11,"Northern Territory, Australia",38.0,0.0
470,2020-05-12,"Northern Territory, Australia",38.0,0.0
471,2020-05-13,"Northern Territory, Australia",38.0,0.0
472,2020-05-14,"Northern Territory, Australia",39.0,0.0
473,2020-04-02,"Queensland, Australia",854.0,3.0
474,2020-04-03,"Queensland, Australia",871.0,3.0
475,2020-04-04,"Queensland, Australia",888.0,4.0
476,2020-04-05,"Queensland, Australia",895.0,4.0
477,2020-04-06,"Queensland, Australia",901.0,4.0
478,2020-04-07,"Queensland, Australia",909.0,4.0
479,2020-04-08,"Queensland, Australia",914.0,4.0
480,2020-04-09,"Queensland, Australia",931.0,4.0
481,2020-04-10,"Queensland, Australia",948.0,4.0
482,2020-04-11,"Queensland, Australia",965.0,5.0
483,2020-04-12,"Queensland, Australia",971.0,5.0
484,2020-04-13,"Queensland, Australia",978.0,5.0
485,2020-04-14,"Queensland, Australia",986.0,5.0
486,2020-04-15,"Queensland, Australia",991.0,5.0
487,2020-04-16,"Queensland, Australia",1008.0,5.0
488,2020-04-17,"Queensland, Australia",1025.0,5.0
489,2020-04-18,"Queensland, Australia",1042.0,6.0
490,2020-04-19,"Queensland, Australia",1048.0,6.0
491,2020-04-20,"Queensland, Australia",1055.0,6.0
492,2020-04-21,"Queensland, Australia",1063.0,6.0
493,2020-04-22,"Queensland, Australia",1068.0,6.0
494,2020-04-23,"Queensland, Australia",1085.0,6.0
495,2020-04-24,"Queensland, Australia",1102.0,6.0
496,2020-04-25,"Queensland, Australia",1119.0,7.0
497,2020-04-26,"Queensland, Australia",1125.0,7.0
498,2020-04-27,"Queensland, Australia",1132.0,7.0
499,2020-04-28,"Queensland, Australia",1140.0,7.0
500,2020-04-29,"Queensland, Australia",1145.0,7.0
501,2020-04-30,"Queensland, Australia",1161.0,7.0
502,2020-05-01,"Queensland, Australia",1179.0,7.0
503,2020-05-02,"Queensland, Australia",1196.0,8.0
504,2020-05-03,"Queensland, Australia",1202.0,8.0
505,2020-05-04,"Queensland, Australia",1208.0,8.0
506,2020-05-05,"Queensland, Australia",1217.0,8.0
507,2020-05-06,"Queensland, Australia",1222.0,8.0
508,2020-05-07,"Queensland, Australia",1238.0,8.0
509,2020-05-08,"Queensland, Australia",1256.0,8.0
510,2020-05-09,"Queensland, Australia",1272.0,9.0
511,2020-05-10,"Queensland, Australia",1279.0,9.0
512,2020-05-11,"Queensland, Australia",1285.0,9.0
513,2020-05-12,"Queensland, Australia",1293.0,9.0
514,2020-05-13,"Queensland, Australia",1299.0,9.0
515,2020-05-14,"Queensland, Australia",1315.0,9.0
516,2020-04-02,"South Australia, Australia",385.0,0.0
517,2020-04-03,"South Australia, Australia",394.0,0.0
518,2020-04-04,"South Australia, Australia",401.0,0.0
519,2020-04-05,"South Australia, Australia",403.0,1.0
520,2020-04-06,"South Australia, Australia",403.0,1.0
521,2020-04-07,"South Australia, Australia",404.0,1.0
522,2020-04-08,"South Australia, Australia",403.0,2.0
523,2020-04-09,"South Australia, Australia",409.0,2.0
524,2020-04-10,"South Australia, Australia",418.0,2.0
525,2020-04-11,"South Australia, Australia",425.0,2.0
526,2020-04-12,"South Australia, Australia",427.0,3.0
527,2020-04-13,"South Australia, Australia",427.0,3.0
528,2020-04-14,"South Australia, Australia",428.0,4.0
529,2020-04-15,"South Australia, Australia",427.0,4.0
530,2020-04-16,"South Australia, Australia",433.0,4.0
531,2020-04-17,"South Australia, Australia",441.0,4.0
532,2020-04-18,"South Australia, Australia",449.0,5.0
533,2020-04-19,"South Australia, Australia",451.0,5.0
534,2020-04-20,"South Australia, Australia",451.0,5.0
535,2020-04-21,"South Australia, Australia",451.0,6.0
536,2020-04-22,"South Australia, Australia",451.0,6.0
537,2020-04-23,"South Australia, Australia",457.0,6.0
538,2020-04-24,"South Australia, Australia",465.0,6.0
539,2020-04-25,"South Australia, Australia",473.0,7.0
540,2020-04-26,"South Australia, Australia",474.0,7.0
541,2020-04-27,"South Australia, Australia",475.0,7.0
542,2020-04-28,"South Australia, Australia",475.0,8.0
543,2020-04-29,"South Australia, Australia",474.0,8.0
544,2020-04-30,"South Australia, Australia",481.0,8.0
545,2020-05-01,"South Australia, Australia",489.0,9.0
546,2020-05-02,"South Australia, Australia",497.0,9.0
547,2020-05-03,"South Australia, Australia",498.0,9.0
548,2020-05-04,"South Australia, Australia",499.0,9.0
